Professor,Semester,Rating,Text
노현정,24년 1학기 수강자,100%,"재밌었어요
쉽게듣기 좋은 전공이에요
성적은 비율대로인듯"
노현정,24년 1학기 수강자,60%,"배움은 전혀 없음, 학점은 나쁘진 않은 듯
하지만 아무런 공지 없이 강제공개일에 나오는 건 좀 짜치긴 한다"
노현정,24년 1학기 수강자,40%,"항상 지각하시는 교수님, 마지막날 공개되는 성적, 형편없는 강의럭"
노현정,24년 1학기 수강자,20%,"교수님이 자신이 무엇을 말하고 계시는 지 모르시는 것 같음.
진짜 최악의 강의
수업 진행을 갓 부임한 강사가 첫 수업 진행하는 거 같이 수업하심
사실 그거보다 못하는거 같음
+성적을 강제공개일에 공개하셔서 랜덤 박스 까는 기분임"
노현정,23년 1학기 수강자,60%,전반적으로 수업이 아직 준비가 덜 된 느낌… 팀 발표가 로드의 전부인데 과제로 성적이 갈리는 느낌
노현정,22년 1학기 수강자,40%,학점 잘 받고 싶으면 딴거 들으시길.. 그냥 대충 치운다 생각하면 좋은 강좌
노현정,22년 1학기 수강자,60%,"교양 느낌의 전선. 비중이 적은 개별과제를 제외하면 싹다 조별과제이다. 대학글쓰기처럼 수업 거의 안듣고 딴짓해도 성적과는 무관하다. 대신 유익한 내용이 많기도 하고, 굳이 창업에 관심있어 수강신청한만큼 안들을 이유도 없을듯? 

성적을 예측하기가 매우 어렵다. 출결부터 최종발표까지 어떠한 점수도 공개되지 않으며 + 성적 강제 공개일으로 넘어가는 자정에 성적이 나와 클레임 걸기도 힘들다. 

전기과는 이 과목이 전선으로 인정되어, 단순히 학점 채우기 용이라면 이만한 강의가 없다. 단, 조별과제로 인하여 성적에 불확실성이 생기는 것이 싫다면 추천하지 않는 강의이다."
노현정,21년 1학기 수강자,100%,시험 없고 조별 발표 두 번이랑 가끔 수업시간에 조별 액티비티 시키신 거 말고 없습니다! 수업 내용도 듣는건 사실상 자유라 편했고 아이디어 디벨롭해보는 것도 재밌어서 좋았습니다 학점은 들인 시간 치고는 잘 주셨다고 생각합니다
노현정,21년 1학기 수강자,60%,"조모임을 통해 pitch deck 발표까지의 모의 창업을 진행합니다. 사실 교수님이 무언가를 가르치신다고 하기는 좀 그렇고...그래도 ppt를 읽지는 않으세요!
열심히 했는데 생각보다 학점은 안나와서 꿀강 찾아서 이걸 들으시겠다면 비추입니다. 딱 무언가를 얻어가는 것도 아닌것 같아서...그냥 뭔가 창업을 대충 어떻게 하는지 알고 싶으시다면 들으면 좋을것 같네요"
