Professor,Semester,Rating,Text
서일원,20년 2학기 수강자,60%,"배워가는것은 적지만 특히 비대면 수업 진행 시에는 쉽게쉽게 치울 수 있는 과목이었습니다. 수업 간에 연계성이 전혀 없고, 일부 교수님들은 말로만 수업시간을 때우시다가 레포트 제출로 과제를 냅니다. 퀴즈가 있는 수업도 그날만 열심히 들었다면 무난하게 만점 받을 수 았는 난이도입니다. 시험공부는 하지 않아도 되고, 레포트만 분량맞춰서 제때 내면 학점은 잘 주는 갓 같습니다"
서일원,20년 2학기 수강자,100%,"작년으로 돌아가서 들을지 말지 결정하라면 저는 다시 듣겠습니다. 

자기 사업모델 구상해오라고 한 건 별로 문제감지 않겠습니다. 제출하기만 하면 만점을 주셨기 때문이지요

하지만 수업진행을 담당하는 조교님의 행정이 쉽지 않습니다. 수업시간 15분이 지나도 줌 링크가 올라오지 않거나 공지가 제대로 이루어지지 않는 경우가 많습니다. 

근데 솔직히 한학기 다니면서 건환공개는 시간 때우려고 가볍게 듣는 느낌이었기 때문에 꿀입니다. 

위의 줌링크 건은 오히려 업계포상이었습니다 사실. 수업시간 15분 땡까먹었는데 이만큼 기분 좋은게 없더군요.

어차피 치워야 하는거 기말없는 건환공개가 답입니다.

참고로 저는 레포트 2시간 컷  퀴즈 대부분 반타작으로 비쁠 받았습니다 성적은 잘 주는듯"
서일원,20년 2학기 수강자,20%,"조교 교수 둘다 수업에 관심이없는 기적의 콤비
학점은 어캐줫는지 몰겠다만 그래도 옛날보단 잘 준듯 합니다.
레포트점수를 도대체 어떻게 줬는지 몰겠다만..ㅋㅋ진짜 무작위입니다.
중간에 자기 사업모델 수익구조 생각해오라 한 과제가 ㄹㅈㄷ
조교는 진짜 일 똑바로 하세요 그러고 월급타는게 놀랍습니다
Etl답변을 1주일만에 다는건 좀.."
서일원,20년 2학기 수강자,40%,"결론적으로 다시 학기 초로 돌아간다면 다시 들을지 고민할 강의입니다.

물론 개꿀인 강의인건 맞습니다.
시험도 없고, 그냥 출석이랑 각 수업 끝마다 퀴즈 혹은 짧은 레포트 제출하면 됩니다.
교수님들도 돌아가시면서 각자 분야 소개해주시는데, 대개는 꽤 유익하고 재밌습니다.

그러나 이 과목은 본질상 단점을 벗어날 수 없습니다.
1. 돌아가면서 강의를 하기 때문에 모든 행정이 TA 한명에게 달려있습니다. eTL에 강의자료를 올리는 것도, 퀴즈문제를 올리는 것도, 줌 링크를 올리는 것도요. 근데 이번 수업의 경우 조교분의 일처리가 극악이었습니다. 퀴즈 파일에 정답을 함께 올린다던지, 수업시간이 훨씬 지나도 줌 링크를 안 올린다던지 등등... 저는 이런거에 스트레스를 좀 많이 받는 성격이라 너무 힘들었습니다.

2. 수업이 너무 꿀이긴 한데, 문제는 A~F라는 겁니다. 퀴즈는 맞추고자 한다면 거의 만점을 맞을 수 있는 난이도이기 때문에, 결국은 레포트 점수로 결정이 됩니다. 근데 이는 공대 수업으로서는 꽤 당황스러울 것입니다. 왜 감점되었는지 이해하지 못한채 낮은 학점을 받게 될수도 있습니다.

3. 수업 프리라이더가 간혹 있습니다. 구글 어스 켜놓고 구경시켜주다가 과제로 본인 사업 아이템의 비즈니스 모델을 만들어오라고 한다던지...

이런 이유로 1점을 주려 했는데, 평점을 잘 받아서 1점 올렸습니다."
조재열,18년 2학기 수강자,100%,세미나식이라 교수님마다 퀴즈가 있긴한데 중간기말이 없어서 평소에 공부안해도 됨ㅋㅋㅋㅋ 기말 레포트도 3쪽짜리 열심히 쓸필요x
김호경,17년 2학기 수강자,100%,"공학개론 들으시려면 건환공개론이 짱입니다.
시험 없고 매 교수님마다 퀴즈에 맨 나중에 레포트 하나 내면 끝입니다.
근데 수업 시작 땡 하면 바로 조교님이 출첵하세요.(지정좌석제)"
